Date,Gold 999.9,Gold 995.0,Silver
2023-08-23,Rs. 94820.00,Rs. 0.00,Rs. 1222.00
2023-08-22,Rs. 94735.00,Rs. 0.00,Rs. 1213.00
2023-08-21,Rs. 94565.00,Rs. 0.00,Rs. 1191.50
2023-08-20,Rs. 94565.00,Rs. 0.00,Rs. 1191.50
2023-08-18,Rs. 94650.00,Rs. 0.00,Rs. 1191.50
2023-08-17,Rs. 94650.00,Rs. 0.00,Rs. 1174.50
2023-08-16,Rs. 95335.00,Rs. 0.00,Rs. 1179.00
2023-08-15,Rs. 95420.00,Rs. 0.00,Rs. 1183.00
2023-08-14,Rs. 95420.00,Rs. 0.00,Rs. 1179.00
2023-08-13,Rs. 95250.00,Rs. 0.00,Rs. 1179.00
2023-08-11,Rs. 95250.00,Rs. 0.00,Rs. 1179.00
2023-08-10,Rs. 95420.00,Rs. 0.00,Rs. 1183.00
2023-08-09,Rs. 96020.00,Rs. 0.00,Rs. 1191.50
2023-08-08,Rs. 96110.00,Rs. 0.00,Rs. 1200.00
2023-08-07,Rs. 96365.00,Rs. 0.00,Rs. 1222.00
2023-08-06,Rs. 96450.00,Rs. 0.00,Rs. 1222.00
2023-08-04,Rs. 96195.00,Rs. 0.00,Rs. 1221.50
2023-08-03,Rs. 96195.00,Rs. 0.00,Rs. 1221.50
2023-08-02,Rs. 96365.00,Rs. 0.00,Rs. 1251.50
2023-08-01,Rs. 96880.00,Rs. 0.00,Rs. 1264.50
2023-07-31,Rs. 96535.00,Rs. 0.00,Rs. 1243.00
2023-07-30,Rs. 96795.00,Rs. 0.00,Rs. 1247.50
2023-07-28,Rs. 96535.00,Rs. 0.00,Rs. 1243.00
2023-07-27,Rs. 97310.00,Rs. 0.00,Rs. 1277.50
2023-07-26,Rs. 96620.00,Rs. 0.00,Rs. 1256.00
2023-07-25,Rs. 96195.00,Rs. 0.00,Rs. 1247.50
2023-07-24,Rs. 96020.00,Rs. 0.00,Rs. 1252.00
2023-07-23,Rs. 96280.00,Rs. 0.00,Rs. 1256.00
2023-07-21,Rs. 96710.00,Rs. 0.00,Rs. 1269.00
2023-07-20,Rs. 97395.00,Rs. 0.00,Rs. 1282.00
2023-07-19,Rs. 96965.00,Rs. 0.00,Rs. 1277.50
2023-07-18,Rs. 96450.00,Rs. 0.00,Rs. 1269.00
2023-07-17,Rs. 96195.00,Rs. 0.00,Rs. 1269.00
2023-07-16,Rs. 96195.00,Rs. 0.00,Rs. 1269.00
2023-07-14,Rs. 96450.00,Rs. 0.00,Rs. 1269.00
2023-07-13,Rs. 96365.00,Rs. 0.00,Rs. 1234.50
2023-07-12,Rs. 95680.00,Rs. 0.00,Rs. 1200.00
2023-07-11,Rs. 95420.00,Rs. 0.00,Rs. 1196.00
2023-07-10,Rs. 95420.00,Rs. 0.00,Rs. 1196.00
2023-07-09,Rs. 95420.00,Rs. 0.00,Rs. 1196.00
2023-07-07,Rs. 94820.00,Rs. 0.00,Rs. 1179.00
2023-07-06,Rs. 94910.00,Rs. 0.00,Rs. 1196.00
2023-07-04,Rs. 94650.00,Rs. 0.00,Rs. 1179.00
2023-07-03,Rs. 94310.00,Rs. 0.00,Rs. 1174.50
2023-07-02,Rs. 94395.00,Rs. 0.00,Rs. 1174.50
2023-06-30,Rs. 93965.00,Rs. 0.00,Rs. 1166.00
2023-06-29,Rs. 93795.00,Rs. 0.00,Rs. 1174.50
2023-06-28,Rs. 94310.00,Rs. 0.00,Rs. 1179.00
2023-06-27,Rs. 94820.00,Rs. 0.00,Rs. 1179.00
2023-06-26,Rs. 94650.00,Rs. 0.00,Rs. 1170.50
2023-06-25,Rs. 94480.00,Rs. 0.00,Rs. 1157.50
2023-06-23,Rs. 94135.00,Rs. 0.00,Rs. 1144.50
2023-06-22,Rs. 94735.00,Rs. 0.00,Rs. 1166.00
2023-06-21,Rs. 95165.00,Rs. 0.00,Rs. 1187.50
2023-06-20,Rs. 95850.00,Rs. 0.00,Rs. 1226.00
2023-06-19,Rs. 96020.00,Rs. 0.00,Rs. 1234.50
2023-06-18,Rs. 96020.00,Rs. 0.00,Rs. 1239.00
2023-06-16,Rs. 95850.00,Rs. 0.00,Rs. 1221.50
2023-06-15,Rs. 95165.00,Rs. 0.00,Rs. 1204.50
2023-06-14,Rs. 95850.00,Rs. 0.00,Rs. 1221.50
2023-06-13,Rs. 96620.00,Rs. 0.00,Rs. 1243.00
2023-06-12,Rs. 96365.00,Rs. 0.00,Rs. 1239.00
2023-06-11,Rs. 96450.00,Rs. 0.00,Rs. 1247.50
2023-06-09,Rs. 96450.00,Rs. 0.00,Rs. 1247.50
2023-06-08,Rs. 95765.00,Rs. 0.00,Rs. 1213.00
2023-06-07,Rs. 96620.00,Rs. 0.00,Rs. 1217.50
2023-06-06,Rs. 96450.00,Rs. 0.00,Rs. 1217.50
2023-06-05,Rs. 95680.00,Rs. 0.00,Rs. 1213.00
2023-06-04,Rs. 95680.00,Rs. 0.00,Rs. 1213.00
2023-06-02,Rs. 97135.00,Rs. 0.00,Rs. 1230.00
2023-06-01,Rs. 96450.00,Rs. 0.00,Rs. 1209.00
2023-05-31,Rs. 96020.00,Rs. 0.00,Rs. 1196.00
2023-05-30,Rs. 94735.00,Rs. 0.00,Rs. 1179.00
2023-05-29,Rs. 92680.00,Rs. 0.00,Rs. 1166.00
