Date,Gold 999.9,Gold 995.0,Silver
2017-05-03,Rs. 46555.00,Rs. 0.00,Rs. 647.00
2017-05-02,Rs. 46640.00,Rs. 0.00,Rs. 652.00
2017-05-01,Rs. 46895.00,Rs. 0.00,Rs. 656.00
2017-04-30,Rs. 47070.00,Rs. 0.00,Rs. 660.00
2017-04-28,Rs. 46895.00,Rs. 0.00,Rs. 660.00
2017-04-27,Rs. 46810.00,Rs. 0.00,Rs. 664.00
2017-04-26,Rs. 46895.00,Rs. 0.00,Rs. 669.00
2017-04-25,Rs. 47240.00,Rs. 0.00,Rs. 677.00
2017-04-24,Rs. 47410.00,Rs. 0.00,Rs. 677.00
2017-04-23,Rs. 47585.00,Rs. 0.00,Rs. 686.00
2017-04-21,Rs. 47585.00,Rs. 0.00,Rs. 686.00
2017-04-20,Rs. 47670.00,Rs. 0.00,Rs. 690.00
2017-04-19,Rs. 47755.00,Rs. 0.00,Rs. 690.00
2017-04-18,Rs. 47670.00,Rs. 0.00,Rs. 694.00
2017-04-17,Rs. 47755.00,Rs. 0.00,Rs. 699.00
2017-04-16,Rs. 47755.00,Rs. 0.00,Rs. 699.00
2017-04-13,Rs. 47670.00,Rs. 0.00,Rs. 699.00
2017-04-12,Rs. 47495.00,Rs. 0.00,Rs. 694.00
2017-04-11,Rs. 46895.00,Rs. 0.00,Rs. 686.00
2017-04-10,Rs. 46640.00,Rs. 0.00,Rs. 682.00
2017-04-09,Rs. 46640.00,Rs. 0.00,Rs. 686.00
2017-04-07,Rs. 47070.00,Rs. 0.00,Rs. 694.00
2017-04-06,Rs. 47070.00,Rs. 0.00,Rs. 694.00
2017-04-05,Rs. 47155.00,Rs. 0.00,Rs. 699.00
2017-04-04,Rs. 47070.00,Rs. 0.00,Rs. 699.00
2017-04-03,Rs. 46725.00,Rs. 0.00,Rs. 690.00
2017-04-02,Rs. 46810.00,Rs. 0.00,Rs. 694.00
2017-03-31,Rs. 46470.00,Rs. 0.00,Rs. 690.00
2017-03-30,Rs. 46895.00,Rs. 0.00,Rs. 694.00
2017-03-29,Rs. 46810.00,Rs. 0.00,Rs. 690.00
2017-03-29,Rs. 45695.00,Rs. 0.00,Rs. 613.00
2017-03-28,Rs. 47070.00,Rs. 0.00,Rs. 686.00
2017-03-27,Rs. 47155.00,Rs. 0.00,Rs. 682.00
2017-03-26,Rs. 46985.00,Rs. 0.00,Rs. 682.00
2017-03-24,Rs. 46985.00,Rs. 0.00,Rs. 677.00
2017-03-23,Rs. 47070.00,Rs. 0.00,Rs. 673.00
2017-03-22,Rs. 47070.00,Rs. 0.00,Rs. 673.00
2017-03-21,Rs. 46470.00,Rs. 0.00,Rs. 669.00
2017-03-20,Rs. 46640.00,Rs. 0.00,Rs. 673.00
2017-03-19,Rs. 46470.00,Rs. 0.00,Rs. 673.00
2017-03-17,Rs. 46470.00,Rs. 0.00,Rs. 669.00
2017-03-16,Rs. 46210.00,Rs. 0.00,Rs. 673.00
2017-03-15,Rs. 45610.00,Rs. 0.00,Rs. 660.00
2017-03-14,Rs. 46125.00,Rs. 0.00,Rs. 669.00
2017-03-13,Rs. 46385.00,Rs. 0.00,Rs. 673.00
2017-03-10,Rs. 46295.00,Rs. 0.00,Rs. 673.00
2017-03-09,Rs. 46555.00,Rs. 0.00,Rs. 682.00
2017-03-08,Rs. 46895.00,Rs. 0.00,Rs. 686.00
2017-03-07,Rs. 47155.00,Rs. 0.00,Rs. 690.00
2017-03-06,Rs. 47495.00,Rs. 0.00,Rs. 699.00
2017-03-05,Rs. 47495.00,Rs. 0.00,Rs. 703.00
2017-03-03,Rs. 47495.00,Rs. 0.00,Rs. 699.00
2017-03-02,Rs. 47925.00,Rs. 0.00,Rs. 716.00
2017-03-01,Rs. 47840.00,Rs. 0.00,Rs. 716.00
2017-02-28,Rs. 48185.00,Rs. 0.00,Rs. 716.00
2017-02-27,Rs. 48185.00,Rs. 0.00,Rs. 716.00
2017-02-26,Rs. 48270.00,Rs. 0.00,Rs. 716.00
2017-02-23,Rs. 47670.00,Rs. 0.00,Rs. 703.00
2017-02-22,Rs. 47585.00,Rs. 0.00,Rs. 703.00
2017-02-21,Rs. 47585.00,Rs. 0.00,Rs. 703.00
2017-02-20,Rs. 47670.00,Rs. 0.00,Rs. 703.00
2017-02-19,Rs. 47755.00,Rs. 0.00,Rs. 707.00
2017-02-17,Rs. 47840.00,Rs. 0.00,Rs. 707.00
2017-02-16,Rs. 47670.00,Rs. 0.00,Rs. 707.00
2017-02-15,Rs. 47325.00,Rs. 0.00,Rs. 703.00
2017-02-14,Rs. 47410.00,Rs. 0.00,Rs. 703.00
2017-02-13,Rs. 47495.00,Rs. 0.00,Rs. 703.00
2017-02-12,Rs. 47495.00,Rs. 0.00,Rs. 703.00
2017-02-10,Rs. 47325.00,Rs. 0.00,Rs. 690.00
2017-02-09,Rs. 47840.00,Rs. 0.00,Rs. 699.00
2017-02-08,Rs. 47840.00,Rs. 0.00,Rs. 699.00
2017-02-07,Rs. 47840.00,Rs. 0.00,Rs. 699.00
2017-02-07,Rs. 48955.00,Rs. 0.00,Rs. 639.00
2017-02-06,Rs. 47495.00,Rs. 0.00,Rs. 694.00
2017-02-05,Rs. 47410.00,Rs. 0.00,Rs. 690.00
2017-02-03,Rs. 47240.00,Rs. 46985.00,Rs. 686.00
2017-02-02,Rs. 47325.00,Rs. 47070.00,Rs. 694.00
2017-02-01,Rs. 47240.00,Rs. 46985.00,Rs. 694.00
2017-01-31,Rs. 47070.00,Rs. 46810.00,Rs. 686.00
2017-01-30,Rs. 46985.00,Rs. 46725.00,Rs. 686.00
2017-01-29,Rs. 46985.00,Rs. 46725.00,Rs. 686.00
2017-01-27,Rs. 46810.00,Rs. 46555.00,Rs. 673.00
2017-01-26,Rs. 47155.00,Rs. 46895.00,Rs. 677.00
2017-01-25,Rs. 47410.00,Rs. 47155.00,Rs. 682.00
2017-01-24,Rs. 47755.00,Rs. 47495.00,Rs. 686.00
2017-01-23,Rs. 47670.00,Rs. 47410.00,Rs. 686.00
2017-01-22,Rs. 47495.00,Rs. 47240.00,Rs. 686.00
2017-01-20,Rs. 47325.00,Rs. 47070.00,Rs. 682.00
2017-01-19,Rs. 47325.00,Rs. 47070.00,Rs. 682.00
2017-01-18,Rs. 47585.00,Rs. 47325.00,Rs. 686.00
2017-01-17,Rs. 0.00,Rs. 47150.00,Rs. 682.00
2017-01-16,Rs. 0.00,Rs. 47150.00,Rs. 682.00
2017-01-15,Rs. 0.00,Rs. 46895.00,Rs. 682.00
2017-01-13,Rs. 0.00,Rs. 46810.00,Rs. 677.00
2017-01-12,Rs. 0.00,Rs. 46810.00,Rs. 677.00
2017-01-11,Rs. 0.00,Rs. 46555.00,Rs. 677.00
2017-01-10,Rs. 0.00,Rs. 46385.00,Rs. 673.00
2017-01-09,Rs. 0.00,Rs. 46125.00,Rs. 669.00
2017-01-08,Rs. 0.00,Rs. 46040.00,Rs. 669.00
2017-01-06,Rs. 0.00,Rs. 46040.00,Rs. 669.00
2017-01-05,Rs. 0.00,Rs. 45870.00,Rs. 669.00
2017-01-04,Rs. 0.00,Rs. 45610.00,Rs. 664.00
2017-01-03,Rs. 0.00,Rs. 45355.00,Rs. 652.00
2017-01-02,Rs. 0.00,Rs. 45180.00,Rs. 647.00
2017-01-01,Rs. 0.00,Rs. 45180.00,Rs. 647.00
2016-12-30,Rs. 0.00,Rs. 45440.00,Rs. 656.00
2016-12-29,Rs. 0.00,Rs. 45180.00,Rs. 656.00
2016-12-28,Rs. 0.00,Rs. 44925.00,Rs. 652.00
2016-12-27,Rs. 0.00,Rs. 44580.00,Rs. 643.00
2016-12-26,Rs. 0.00,Rs. 44580.00,Rs. 643.00
2016-12-25,Rs. 0.00,Rs. 44580.00,Rs. 643.00
2016-12-23,Rs. 0.00,Rs. 44410.00,Rs. 647.00
2016-12-22,Rs. 0.00,Rs. 44410.00,Rs. 647.00
2016-12-21,Rs. 0.00,Rs. 44580.00,Rs. 652.00
2016-12-20,Rs. 0.00,Rs. 44580.00,Rs. 647.00
2016-12-19,Rs. 0.00,Rs. 44580.00,Rs. 652.00
2016-12-18,Rs. 0.00,Rs. 44495.00,Rs. 656.00
2016-12-16,Rs. 0.00,Rs. 44325.00,Rs. 656.00
2016-12-15,Rs. 0.00,Rs. 44670.00,Rs. 677.00
2016-12-14,Rs. 0.00,Rs. 45095.00,Rs. 677.00
2016-12-13,Rs. 0.00,Rs. 45180.00,Rs. 686.00
2016-12-12,Rs. 0.00,Rs. 45095.00,Rs. 677.00
2016-12-11,Rs. 0.00,Rs. 45095.00,Rs. 673.00
2016-12-09,Rs. 0.00,Rs. 45440.00,Rs. 677.00
2016-12-08,Rs. 0.00,Rs. 45780.00,Rs. 686.00
2016-12-07,Rs. 0.00,Rs. 45695.00,Rs. 673.00
2016-12-06,Rs. 0.00,Rs. 46040.00,Rs. 677.00
2016-12-05,Rs. 0.00,Rs. 46125.00,Rs. 673.00
2016-12-04,Rs. 0.00,Rs. 46295.00,Rs. 673.00
2016-12-02,Rs. 0.00,Rs. 46295.00,Rs. 673.00
2016-12-01,Rs. 0.00,Rs. 46295.00,Rs. 669.00
2016-11-30,Rs. 0.00,Rs. 46810.00,Rs. 677.00
2016-11-29,Rs. 0.00,Rs. 46985.00,Rs. 677.00
2016-11-28,Rs. 0.00,Rs. 46895.00,Rs. 682.00
2016-11-27,Rs. 0.00,Rs. 46725.00,Rs. 673.00
2016-11-25,Rs. 0.00,Rs. 46470.00,Rs. 664.00
2016-11-24,Rs. 0.00,Rs. 46810.00,Rs. 664.00
2016-11-23,Rs. 0.00,Rs. 47495.00,Rs. 677.00
2016-11-22,Rs. 0.00,Rs. 47495.00,Rs. 677.00
2016-11-21,Rs. 0.00,Rs. 47240.00,Rs. 673.00
2016-11-20,Rs. 0.00,Rs. 47155.00,Rs. 673.00
2016-11-18,Rs. 0.00,Rs. 47155.00,Rs. 673.00
2016-11-17,Rs. 0.00,Rs. 47670.00,Rs. 682.00
2016-11-16,Rs. 0.00,Rs. 47670.00,Rs. 686.00
2016-11-15,Rs. 0.00,Rs. 47585.00,Rs. 686.00
2016-11-14,Rs. 0.00,Rs. 47155.00,Rs. 686.00
2016-11-13,Rs. 0.00,Rs. 47585.00,Rs. 694.00
2016-11-11,Rs. 0.00,Rs. 48355.00,Rs. 724.00
2016-11-10,Rs. 0.00,Rs. 48695.00,Rs. 716.00
2016-11-09,Rs. 0.00,Rs. 49900.00,Rs. 724.00
2016-11-08,Rs. 0.00,Rs. 48785.00,Rs. 707.00
2016-11-07,Rs. 0.00,Rs. 49125.00,Rs. 707.00
2016-11-06,Rs. 0.00,Rs. 49470.00,Rs. 712.00
2016-11-04,Rs. 0.00,Rs. 49295.00,Rs. 707.00
2016-11-03,Rs. 0.00,Rs. 49470.00,Rs. 720.00
2016-11-02,Rs. 0.00,Rs. 49125.00,Rs. 716.00
2016-10-28,Rs. 0.00,Rs. 48610.00,Rs. 694.00
2016-10-27,Rs. 0.00,Rs. 48440.00,Rs. 694.00
2016-10-26,Rs. 0.00,Rs. 48695.00,Rs. 699.00
2016-10-25,Rs. 0.00,Rs. 48440.00,Rs. 694.00
2016-10-24,Rs. 0.00,Rs. 48440.00,Rs. 690.00
2016-10-23,Rs. 0.00,Rs. 48440.00,Rs. 690.00
2016-10-21,Rs. 0.00,Rs. 48440.00,Rs. 690.00
2016-10-20,Rs. 0.00,Rs. 48525.00,Rs. 695.00
2016-10-19,Rs. 0.00,Rs. 48185.00,Rs. 695.00
2016-10-18,Rs. 0.00,Rs. 48095.00,Rs. 695.00
2016-10-17,Rs. 0.00,Rs. 48010.00,Rs. 695.00
2016-10-16,Rs. 0.00,Rs. 48010.00,Rs. 695.00
2016-10-14,Rs. 0.00,Rs. 48010.00,Rs. 695.00
2016-10-07,Rs. 0.00,Rs. 48010.00,Rs. 695.00
2016-10-06,Rs. 0.00,Rs. 48270.00,Rs. 703.00
2016-10-05,Rs. 0.00,Rs. 48610.00,Rs. 712.00
2016-10-04,Rs. 0.00,Rs. 49555.00,Rs. 737.00
2016-10-03,Rs. 0.00,Rs. 49640.00,Rs. 737.00
2016-10-02,Rs. 0.00,Rs. 49810.00,Rs. 742.00
2016-09-30,Rs. 0.00,Rs. 49985.00,Rs. 742.00
2016-09-29,Rs. 0.00,Rs. 49985.00,Rs. 746.00
2016-09-28,Rs. 0.00,Rs. 49985.00,Rs. 737.00
2016-09-27,Rs. 0.00,Rs. 50325.00,Rs. 750.00
2016-09-26,Rs. 0.00,Rs. 50500.00,Rs. 755.00
2016-09-25,Rs. 0.00,Rs. 50585.00,Rs. 763.00
2016-09-23,Rs. 0.00,Rs. 50500.00,Rs. 763.00
2016-09-22,Rs. 0.00,Rs. 50500.00,Rs. 763.00
2016-09-21,Rs. 0.00,Rs. 50070.00,Rs. 746.00
2016-09-20,Rs. 0.00,Rs. 50070.00,Rs. 750.00
2016-09-19,Rs. 0.00,Rs. 49985.00,Rs. 742.00
2016-09-18,Rs. 0.00,Rs. 49810.00,Rs. 733.00
2016-09-16,Rs. 0.00,Rs. 49900.00,Rs. 737.00
2016-09-15,Rs. 0.00,Rs. 50155.00,Rs. 737.00
2016-09-14,Rs. 0.00,Rs. 50155.00,Rs. 737.00
2016-09-13,Rs. 0.00,Rs. 50410.00,Rs. 746.00
2016-09-12,Rs. 0.00,Rs. 50325.00,Rs. 737.00
2016-09-11,Rs. 0.00,Rs. 50325.00,Rs. 742.00
2016-09-09,Rs. 0.00,Rs. 50500.00,Rs. 754.00
2016-09-08,Rs. 0.00,Rs. 50670.00,Rs. 763.00
2016-09-07,Rs. 0.00,Rs. 50670.00,Rs. 763.00
2016-09-06,Rs. 0.00,Rs. 50155.00,Rs. 750.00
2016-09-05,Rs. 0.00,Rs. 50240.00,Rs. 750.00
2016-09-04,Rs. 0.00,Rs. 50240.00,Rs. 750.00
2016-09-02,Rs. 0.00,Rs. 49895.00,Rs. 737.00
2016-09-01,Rs. 0.00,Rs. 49810.00,Rs. 729.00
2016-08-31,Rs. 0.00,Rs. 50070.00,Rs. 733.00
2016-08-30,Rs. 0.00,Rs. 50325.00,Rs. 733.00
2016-08-29,Rs. 0.00,Rs. 50155.00,Rs. 725.00
2016-08-28,Rs. 0.00,Rs. 50155.00,Rs. 729.00
2016-08-26,Rs. 0.00,Rs. 50240.00,Rs. 729.00
2016-08-25,Rs. 0.00,Rs. 50325.00,Rs. 729.00
2016-08-24,Rs. 0.00,Rs. 50670.00,Rs. 737.00
2016-08-23,Rs. 0.00,Rs. 50585.00,Rs. 737.00
2016-08-22,Rs. 0.00,Rs. 50585.00,Rs. 737.00
2016-08-21,Rs. 0.00,Rs. 50840.00,Rs. 755.00
2016-08-19,Rs. 0.00,Rs. 50840.00,Rs. 763.00
2016-08-18,Rs. 0.00,Rs. 50840.00,Rs. 763.00
2016-08-17,Rs. 0.00,Rs. 50840.00,Rs. 763.00
2016-08-16,Rs. 0.00,Rs. 50840.00,Rs. 767.00
2016-08-15,Rs. 0.00,Rs. 50500.00,Rs. 763.00
2016-08-14,Rs. 0.00,Rs. 50500.00,Rs. 763.00
2016-08-12,Rs. 0.00,Rs. 50500.00,Rs. 767.00
2016-08-11,Rs. 0.00,Rs. 50755.00,Rs. 772.00
2016-08-10,Rs. 0.00,Rs. 50755.00,Rs. 772.00
2016-08-09,Rs. 0.00,Rs. 50500.00,Rs. 763.00
2016-08-08,Rs. 0.00,Rs. 50500.00,Rs. 763.00
2016-08-07,Rs. 0.00,Rs. 50500.00,Rs. 763.00
2016-08-05,Rs. 0.00,Rs. 51010.00,Rs. 780.00
2016-08-04,Rs. 0.00,Rs. 50755.00,Rs. 776.00
2016-08-03,Rs. 0.00,Rs. 51010.00,Rs. 789.00
2016-08-02,Rs. 0.00,Rs. 50585.00,Rs. 780.00
2016-08-01,Rs. 0.00,Rs. 50585.00,Rs. 785.00
2016-07-31,Rs. 0.00,Rs. 50585.00,Rs. 785.00
2016-07-29,Rs. 0.00,Rs. 50500.00,Rs. 780.00
2016-07-28,Rs. 0.00,Rs. 50500.00,Rs. 780.00
2016-07-27,Rs. 0.00,Rs. 50070.00,Rs. 759.00
2016-07-26,Rs. 0.00,Rs. 50070.00,Rs. 759.00
2016-07-25,Rs. 0.00,Rs. 49900.00,Rs. 755.00
2016-07-24,Rs. 0.00,Rs. 50070.00,Rs. 763.00
2016-07-22,Rs. 0.00,Rs. 50155.00,Rs. 763.00
2016-07-21,Rs. 0.00,Rs. 49900.00,Rs. 750.00
2016-07-20,Rs. 0.00,Rs. 50325.00,Rs. 772.00
2016-07-19,Rs. 0.00,Rs. 50240.00,Rs. 772.00
2016-07-18,Rs. 0.00,Rs. 50155.00,Rs. 772.00
2016-07-17,Rs. 0.00,Rs. 50410.00,Rs. 780.00
2016-07-15,Rs. 0.00,Rs. 49985.00,Rs. 776.00
2016-07-14,Rs. 0.00,Rs. 50325.00,Rs. 780.00
2016-07-13,Rs. 0.00,Rs. 50410.00,Rs. 785.00
2016-07-12,Rs. 0.00,Rs. 50585.00,Rs. 785.00
2016-07-11,Rs. 0.00,Rs. 50585.00,Rs. 785.00
2016-07-10,Rs. 0.00,Rs. 50585.00,Rs. 776.00
2016-07-08,Rs. 0.00,Rs. 50500.00,Rs. 767.00
2016-07-07,Rs. 0.00,Rs. 50585.00,Rs. 776.00
2016-07-06,Rs. 0.00,Rs. 50585.00,Rs. 776.00
2016-07-05,Rs. 0.00,Rs. 50500.00,Rs. 772.00
2016-07-04,Rs. 0.00,Rs. 50500.00,Rs. 772.00
2016-07-03,Rs. 0.00,Rs. 50410.00,Rs. 763.00
2016-07-01,Rs. 0.00,Rs. 50155.00,Rs. 746.00
2016-06-30,Rs. 0.00,Rs. 49725.00,Rs. 716.00
2016-06-29,Rs. 0.00,Rs. 49985.00,Rs. 707.00
2016-06-28,Rs. 0.00,Rs. 49985.00,Rs. 699.00
2016-06-27,Rs. 0.00,Rs. 50325.00,Rs. 699.00
2016-06-26,Rs. 0.00,Rs. 50155.00,Rs. 699.00
2016-06-24,Rs. 0.00,Rs. 50585.00,Rs. 703.00
2016-06-23,Rs. 0.00,Rs. 48010.00,Rs. 677.00
2016-06-22,Rs. 0.00,Rs. 48440.00,Rs. 682.00
2016-06-21,Rs. 0.00,Rs. 48695.00,Rs. 686.00
2016-06-20,Rs. 0.00,Rs. 48695.00,Rs. 686.00
2016-06-19,Rs. 0.00,Rs. 48870.00,Rs. 686.00
2016-06-17,Rs. 0.00,Rs. 48525.00,Rs. 682.00
2016-06-16,Rs. 0.00,Rs. 48870.00,Rs. 690.00
2016-06-15,Rs. 0.00,Rs. 48525.00,Rs. 682.00
2016-06-14,Rs. 0.00,Rs. 48525.00,Rs. 677.00
2016-06-13,Rs. 0.00,Rs. 48270.00,Rs. 677.00
2016-06-12,Rs. 0.00,Rs. 48095.00,Rs. 677.00
2016-06-10,Rs. 0.00,Rs. 47925.00,Rs. 673.00
2016-06-09,Rs. 0.00,Rs. 47670.00,Rs. 669.00
2016-06-08,Rs. 0.00,Rs. 47325.00,Rs. 647.00
2016-06-07,Rs. 0.00,Rs. 47325.00,Rs. 647.00
2016-06-06,Rs. 0.00,Rs. 47325.00,Rs. 647.00
2016-06-05,Rs. 0.00,Rs. 47410.00,Rs. 647.00
2016-06-03,Rs. 0.00,Rs. 46555.00,Rs. 639.00
2016-06-02,Rs. 0.00,Rs. 46725.00,Rs. 639.00
2016-06-01,Rs. 0.00,Rs. 46555.00,Rs. 639.00
2016-05-31,Rs. 0.00,Rs. 46555.00,Rs. 643.00
2016-05-30,Rs. 0.00,Rs. 46295.00,Rs. 639.00
2016-05-29,Rs. 0.00,Rs. 46470.00,Rs. 643.00
2016-05-27,Rs. 0.00,Rs. 46640.00,Rs. 643.00
2016-05-26,Rs. 0.00,Rs. 47155.00,Rs. 652.00
2016-05-25,Rs. 0.00,Rs. 47240.00,Rs. 652.00
2016-05-24,Rs. 0.00,Rs. 47840.00,Rs. 652.00
2016-05-23,Rs. 0.00,Rs. 48010.00,Rs. 656.00
2016-05-22,Rs. 0.00,Rs. 48010.00,Rs. 660.00
2016-05-20,Rs. 0.00,Rs. 48010.00,Rs. 660.00
2016-05-19,Rs. 0.00,Rs. 48010.00,Rs. 669.00
2016-05-18,Rs. 0.00,Rs. 48270.00,Rs. 673.00
2016-05-17,Rs. 0.00,Rs. 48270.00,Rs. 673.00
2016-05-16,Rs. 0.00,Rs. 48270.00,Rs. 677.00
2016-05-15,Rs. 0.00,Rs. 48270.00,Rs. 673.00
2016-05-14,Rs. 0.00,Rs. 48270.00,Rs. 673.00
2016-05-13,Rs. 0.00,Rs. 48185.00,Rs. 673.00
2016-05-12,Rs. 0.00,Rs. 48185.00,Rs. 673.00
2016-05-11,Rs. 0.00,Rs. 48185.00,Rs. 673.00
2016-05-10,Rs. 0.00,Rs. 47925.00,Rs. 664.00
2016-05-09,Rs. 0.00,Rs. 48440.00,Rs. 677.00
2016-05-08,Rs. 0.00,Rs. 48525.00,Rs. 677.00
2016-05-06,Rs. 0.00,Rs. 48355.00,Rs. 677.00
2016-05-05,Rs. 0.00,Rs. 48440.00,Rs. 677.00
2016-05-04,Rs. 0.00,Rs. 48440.00,Rs. 677.00
2016-05-03,Rs. 0.00,Rs. 48610.00,Rs. 686.00
2016-05-02,Rs. 0.00,Rs. 48610.00,Rs. 686.00
2016-05-01,Rs. 0.00,Rs. 48870.00,Rs. 690.00
2016-04-29,Rs. 0.00,Rs. 48440.00,Rs. 686.00
2016-04-28,Rs. 0.00,Rs. 47410.00,Rs. 673.00
2016-04-27,Rs. 0.00,Rs. 47325.00,Rs. 673.00
2016-04-26,Rs. 0.00,Rs. 47240.00,Rs. 669.00
2016-04-25,Rs. 0.00,Rs. 47070.00,Rs. 665.00
2016-04-24,Rs. 0.00,Rs. 46985.00,Rs. 665.00
2016-04-22,Rs. 0.00,Rs. 47155.00,Rs. 665.00
2016-04-21,Rs. 0.00,Rs. 47155.00,Rs. 665.00
2016-04-20,Rs. 0.00,Rs. 47155.00,Rs. 665.00
2016-04-19,Rs. 0.00,Rs. 46640.00,Rs. 643.00
2016-04-18,Rs. 0.00,Rs. 46725.00,Rs. 643.00
2016-04-17,Rs. 0.00,Rs. 46725.00,Rs. 643.00
2016-04-15,Rs. 0.00,Rs. 46725.00,Rs. 639.00
2016-04-14,Rs. 0.00,Rs. 46725.00,Rs. 639.00
2016-04-13,Rs. 0.00,Rs. 47325.00,Rs. 630.00
2016-04-12,Rs. 0.00,Rs. 47325.00,Rs. 630.00
2016-04-11,Rs. 0.00,Rs. 47155.00,Rs. 617.00
2016-04-10,Rs. 0.00,Rs. 46725.00,Rs. 613.00
2016-04-08,Rs. 0.00,Rs. 46725.00,Rs. 613.00
2016-04-07,Rs. 0.00,Rs. 46385.00,Rs. 609.00
2016-04-06,Rs. 0.00,Rs. 46385.00,Rs. 609.00
2016-04-05,Rs. 0.00,Rs. 46125.00,Rs. 604.00
2016-04-04,Rs. 0.00,Rs. 46125.00,Rs. 604.00
2016-04-03,Rs. 0.00,Rs. 46295.00,Rs. 609.00
2016-04-01,Rs. 0.00,Rs. 46295.00,Rs. 609.00
2016-03-31,Rs. 0.00,Rs. 46295.00,Rs. 609.00
2016-03-30,Rs. 0.00,Rs. 46725.00,Rs. 617.00
2016-03-29,Rs. 0.00,Rs. 46465.00,Rs. 617.00
2016-03-28,Rs. 0.00,Rs. 46465.00,Rs. 617.00
2016-03-27,Rs. 0.00,Rs. 46640.00,Rs. 617.00
2016-03-25,Rs. 0.00,Rs. 46640.00,Rs. 617.00
2016-03-24,Rs. 0.00,Rs. 46725.00,Rs. 622.00
2016-03-23,Rs. 0.00,Rs. 47155.00,Rs. 630.00
2016-03-21,Rs. 0.00,Rs. 47585.00,Rs. 630.00
2016-03-20,Rs. 0.00,Rs. 47585.00,Rs. 630.00
2016-03-18,Rs. 0.00,Rs. 47840.00,Rs. 639.00
2016-03-17,Rs. 0.00,Rs. 47840.00,Rs. 626.00
2016-03-16,Rs. 0.00,Rs. 47495.00,Rs. 622.00
2016-03-15,Rs. 0.00,Rs. 47325.00,Rs. 622.00
2016-03-14,Rs. 0.00,Rs. 48010.00,Rs. 626.00
2016-03-13,Rs. 0.00,Rs. 48010.00,Rs. 626.00
2016-03-11,Rs. 0.00,Rs. 48440.00,Rs. 626.00
2016-03-10,Rs. 0.00,Rs. 48010.00,Rs. 622.00
2016-03-09,Rs. 0.00,Rs. 48270.00,Rs. 622.00
2016-03-08,Rs. 0.00,Rs. 48440.00,Rs. 626.00
2016-03-07,Rs. 0.00,Rs. 48185.00,Rs. 626.00
2016-03-06,Rs. 0.00,Rs. 48185.00,Rs. 626.00
2016-03-04,Rs. 0.00,Rs. 48440.00,Rs. 622.00
2016-03-03,Rs. 0.00,Rs. 47755.00,Rs. 613.00
2016-03-02,Rs. 0.00,Rs. 47585.00,Rs. 613.00
2016-03-01,Rs. 0.00,Rs. 48440.00,Rs. 617.00
2016-02-29,Rs. 0.00,Rs. 48010.00,Rs. 617.00
2016-02-28,Rs. 0.00,Rs. 48010.00,Rs. 622.00
2016-02-26,Rs. 0.00,Rs. 48440.00,Rs. 630.00
2016-02-25,Rs. 0.00,Rs. 48010.00,Rs. 630.00
2016-02-24,Rs. 0.00,Rs. 48010.00,Rs. 630.00
2016-02-23,Rs. 0.00,Rs. 47755.00,Rs. 630.00
2016-02-22,Rs. 0.00,Rs. 47585.00,Rs. 626.00
2016-02-21,Rs. 0.00,Rs. 47585.00,Rs. 630.00
2016-02-19,Rs. 0.00,Rs. 47585.00,Rs. 635.00
2016-02-18,Rs. 0.00,Rs. 47155.00,Rs. 630.00
2016-02-17,Rs. 0.00,Rs. 47155.00,Rs. 630.00
2016-02-16,Rs. 0.00,Rs. 46810.00,Rs. 626.00
2016-02-15,Rs. 0.00,Rs. 47495.00,Rs. 635.00
2016-02-14,Rs. 0.00,Rs. 47585.00,Rs. 639.00
2016-02-12,Rs. 0.00,Rs. 47585.00,Rs. 639.00
2016-02-11,Rs. 0.00,Rs. 46725.00,Rs. 626.00
2016-02-10,Rs. 0.00,Rs. 46295.00,Rs. 626.00
2016-02-09,Rs. 0.00,Rs. 46295.00,Rs. 626.00
2016-02-08,Rs. 0.00,Rs. 45440.00,Rs. 613.00
2016-02-07,Rs. 0.00,Rs. 45695.00,Rs. 613.00
2016-02-05,Rs. 0.00,Rs. 45010.00,Rs. 604.00
2016-02-04,Rs. 0.00,Rs. 44580.00,Rs. 600.00
2016-02-03,Rs. 0.00,Rs. 44325.00,Rs. 592.00
2016-02-02,Rs. 0.00,Rs. 44155.00,Rs. 592.00
2016-02-01,Rs. 0.00,Rs. 43895.00,Rs. 592.00
2016-01-31,Rs. 0.00,Rs. 43895.00,Rs. 592.00
2016-01-29,Rs. 0.00,Rs. 43980.00,Rs. 592.00
2016-01-28,Rs. 0.00,Rs. 44155.00,Rs. 596.00
2016-01-27,Rs. 0.00,Rs. 43980.00,Rs. 596.00
2016-01-26,Rs. 0.00,Rs. 43640.00,Rs. 588.00
2016-01-25,Rs. 0.00,Rs. 43125.00,Rs. 583.00
2016-01-24,Rs. 0.00,Rs. 43040.00,Rs. 579.00
2016-01-22,Rs. 0.00,Rs. 43210.00,Rs. 583.00
2016-01-21,Rs. 0.00,Rs. 43295.00,Rs. 587.00
2016-01-20,Rs. 0.00,Rs. 42995.00,Rs. 579.00
2016-01-19,Rs. 0.00,Rs. 42780.00,Rs. 579.00
2016-01-18,Rs. 0.00,Rs. 42780.00,Rs. 579.00
2016-01-17,Rs. 0.00,Rs. 42780.00,Rs. 583.00
2016-01-15,Rs. 0.00,Rs. 42610.00,Rs. 583.00
